x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.9,40,2.763258643168759e-16,7.470806996182327e-15,6.000237547049463e-02,1.622237453452718e+00,7.394632918131792e-15,1.622237453452718e+00
0.9,41,1.808313698434261e-16,1.598886141417862e-15,1.727188909617261e-02,1.527156717105443e-01,1.571209382956430e-15,1.527156717105444e-01
0.9,42,3.721523957056494e-17,2.254830714136169e-16,2.785445901919488e-02,1.687671245620693e-01,2.100202246658166e-16,1.687671245620692e-01
0.9,43,8.737314257517559e-17,4.770279641460779e-16,6.642524318622461e-02,3.626594808326794e-01,5.774375632229588e-16,3.626594808326794e-01
0.9,44,1.588220657419703e-16,9.646128403776121e-16,9.098533644672745e-02,5.526034648433457e-01,9.659890625415082e-16,5.526034648433457e-01
0.9,45,2.092239142353902e-16,1.835569097504704e-15,9.700477220419969e-02,8.510449812547935e-01,1.919613231149556e-15,8.510449812547935e-01
0.9,46,2.282686030214559e-16,5.451797350583208e-15,8.370327616133085e-02,1.999106724145438e+00,5.326775107133373e-15,1.999106724145438e+00
0.9,47,2.089359230333238e-16,5.647966898322068e-15,5.412222751723844e-02,1.463034910622166e+00,5.578059775635073e-15,1.463034910622166e+00
0.9,48,1.551967647277219e-16,1.451902021783838e-15,1.444575985711119e-02,1.351434611381245e-01,1.514428961343570e-15,1.351434611381244e-01
0.9,49,7.359022245745361e-17,4.772258472294759e-16,2.728065480207425e-02,1.769125457994334e-01,5.424499054324336e-16,1.769125457994334e-01
0.9,50,5.815389402669124e-17,3.420059653014479e-16,6.277097151726529e-02,3.691592294201088e-01,3.401206433492006e-16,3.691592294201089e-01
0.99,0,0.000000000000000e+00,0.000000000000000e+00,1.110223024625157e-16,1.110223024625157e-16,1.354797312626351e-17,2.103298806623463e-16
0.99,1,0.000000000000000e+00,0.000000000000000e+00,1.951264633370410e-01,1.970974377141828e-01,2.712094097577387e-17,1.970974377141828e-01
0.99,2,1.278274361360410e-16,1.317604866629294e-16,2.897627980555060e-01,2.986783467046395e-01,3.942042755283854e-17,2.986783467046394e-01
0.99,3,2.113652135260491e-16,2.246779433653016e-16,3.480243079002242e-01,3.699444408836847e-01,1.344193799496553e-16,3.699444408836848e-01
0.99,4,2.993482198232478e-16,3.317861031470334e-16,3.856300148955088e-01,4.274175405962337e-01,3.375949860836045e-16,4.274175405962337e-01
0.99,5,3.956795828485848e-16,4.626855177044916e-16,4.087732402236173e-01,4.779965064535130e-01,4.228490063993659e-16,4.779965064535130e-01
0.99,6,2.931140573314561e-16,3.662589054301141e-16,4.205650852596081e-01,5.255145699652394e-01,4.502065149541266e-16,5.255145699652395e-01
0.99,7,2.857414825585547e-16,3.869831847836296e-16,4.228618865642075e-01,5.726870250723832e-01,2.405027679816165e-16,5.726870250723831e-01
0.99,8,2.935477382004503e-16,4.378914635956090e-16,4.169429273326531e-01,6.219627165407095e-01,4.829985069143963e-16,6.219627165407095e-01
0.99,9,4.504860026677271e-16,7.542727139651005e-16,4.038060416105435e-01,6.761139682862539e-01,7.310820764989705e-16,6.761139682862539e-01
0.99,10,6.705790436822845e-16,1.289354300721006e-15,3.843105296700445e-01,7.389321794511820e-01,1.195343048529747e-15,7.389321794511819e-01
0.99,11,9.146058476544594e-16,2.078565502687880e-15,3.592504996122537e-01,8.164453542828549e-01,2.172899668309003e-15,8.164453542828549e-01
0.99,12,1.081410351891354e-15,3.019134820607446e-15,3.293931708167105e-01,9.196161197677712e-01,3.173237463212263e-15,9.196161197677713e-01
0.99,13,1.182837465127373e-15,4.289375674848338e-15,2.954980755666570e-01,1.071577705871554e+00,4.394361357837639e-15,1.071577705871554e+00
0.99,14,1.264369468498283e-15,6.520613484800866e-15,2.583251670913932e-01,1.332236035405234e+00,6.373319646737806e-15,1.332236035405234e+00
0.99,15,1.297369872123311e-15,1.140491038699975e-14,2.186361659507135e-01,1.921985344043886e+00,1.138181006872971e-14,1.921985344043886e+00
0.99,16,1.279385668587207e-15,3.513584943419563e-14,1.771916516660311e-01,4.866225522761308e+00,3.507383699625927e-14,4.866225522761308e+00
0.99,17,1.238457036575880e-15,3.339280502132958e-14,1.347454473363424e-01,3.633172825158907e+00,3.343254834433382e-14,3.633172825158907e+00
0.99,18,1.173472668862530e-15,1.109319165210110e-14,9.203731510454092e-02,8.700565447247741e-01,1.112193807005295e-14,8.700565447247740e-01
0.99,19,1.092726712066672e-15,6.473376859891931e-15,4.978467369606161e-02,2.949273145083438e-01,6.530407045542988e-15,2.949273145083437e-01
0.99,20,9.940643143704908e-16,4.410603081779147e-15,8.673863220933048e-03,3.848540511929052e-02,4.403232012562689e-15,3.848540511929054e-02
0.99,21,8.532128996374677e-16,3.104132816619270e-15,3.064863646588387e-02,1.115049224862966e-01,3.202296202096161e-15,1.115049224862966e-01
0.99,22,6.641822508646200e-16,2.097031917487825e-15,6.758470827237592e-02,2.133861454394149e-01,2.087619518004660e-15,2.133861454394149e-01
0.99,23,4.324340364958434e-16,1.233518902330750e-15,1.015925544036914e-01,2.897929524893516e-01,1.264936426332886e-15,2.897929524893516e-01
0.99,24,2.242130092700023e-16,5.960916723074855e-16,1.321938860891297e-01,3.514500558386524e-01,6.801563048708653e-16,3.514500558386523e-01
0.99,25,7.125918778660978e-17,1.811770599947227e-16,1.589801643398036e-01,4.042083507717992e-01,8.052651872542814e-17,4.042083507717992e-01
0.99,26,4.602438222200966e-17,1.144569495707301e-16,1.816177440495554e-01,4.516608799126656e-01,1.820991551581783e-16,4.516608799126656e-01
0.99,27,1.442259939948842e-16,3.581562571571780e-16,1.998518058313065e-01,4.962917763990778e-01,3.654948000822754e-16,4.962917763990778e-01
0.99,28,1.544717045248722e-16,3.907325143663242e-16,2.135089906491659e-01,5.400659299563303e-01,1.937316523730833e-16,5.400659299563302e-01
0.99,29,1.750173356934726e-16,4.600024932844598e-16,2.224986820364086e-01,5.847989176827097e-01,3.550190426610875e-16,5.847989176827097e-01
0.99,30,2.087089182034596e-16,5.819858811482265e-16,2.268129096306939e-01,6.324689534279055e-01,6.106350664077058e-16,6.324689534279055e-01
0.99,31,2.238064334553203e-16,6.773635156855705e-16,2.265248758550111e-01,6.855910436999112e-01,6.111252386335144e-16,6.855910436999112e-01
0.99,32,2.514535888537006e-16,8.478503719284141e-16,2.217861346414229e-01,7.478177488001615e-01,9.024662921051080e-16,7.478177488001615e-01
0.99,33,3.548593710545056e-16,1.375792415070786e-15,2.128224768731882e-01,8.251143222415754e-01,1.484198124546837e-15,8.251143222415754e-01
0.99,34,4.419750156137159e-16,2.052471821757043e-15,1.999286014068123e-01,9.284412155763568e-01,2.122243427112120e-15,9.284412155763568e-01
0.99,35,4.984619488002107e-16,2.937024354351233e-15,1.834616728117413e-01,1.080988032155834e+00,2.800123488994996e-15,1.080988032155834e+00
